Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
5465,1775,146000,1775,0,10,190,370,235,345,420,205,1800,0,0,1775,1705,70
4204,1535,150000,1535,60,1000,280,95,15,15,30,30,1305,230,0,1535,1090,445
4658,1645,83000,1645,275,930,105,195,40,85,10,0,995,665,0,1645,1290,355
5069,2055,52000,2055,415,1015,195,125,45,75,135,40,980,1045,30,2055,875,1180
5705,1855,111000,1855,0,15,0,225,1110,415,80,0,1855,5,0,1855,1650,200
3853,1615,68000,1615,605,770,35,40,65,85,15,0,1315,335,0,1615,1220,390
6872,2565,92000,2565,270,945,305,355,190,245,170,80,2445,45,75,2565,2250,320
3023,985,111000,985,55,120,120,525,50,40,35,35,715,255,15,985,840,145
4652,1990,86000,1990,675,945,105,125,65,65,10,0,1605,375,10,1990,1715,275
6052,2270,98000,2270,0,0,15,25,35,690,935,560,1940,335,0,2270,1960,310
4779,2115,88000,2115,110,970,255,285,245,120,60,70,400,1630,85,2115,610,1500
4669,1725,84000,1725,100,1365,180,65,15,0,0,10,1520,215,0,1725,1535,195
6191,2095,105000,2095,15,25,180,1230,260,160,75,150,1885,205,5,2095,1745,355
3355,1630,52400,1630,815,445,145,85,65,15,15,45,340,1300,0,1630,625,1000
5761,1920,60800,1920,410,1080,200,190,10,10,10,15,385,1550,0,1920,135,1780
6056,2240,69500,2240,435,1115,245,255,25,25,40,95,785,1445,10,2240,1020,1225
5601,2050,62400,2050,180,705,510,540,50,25,20,20,1430,640,0,2050,1140,910
4176,1515,83000,1515,470,455,160,130,110,80,80,35,1500,40,0,1515,1335,180
3183,915,109000,915,25,35,190,355,190,45,45,25,705,195,15,915,770,145
7691,2325,106000,2325,305,245,170,60,20,30,595,890,2280,85,0,2325,1930,395
5192,1985,96000,1985,15,355,1160,375,70,0,0,0,1855,130,0,1985,1790,195
6253,2350,75000,2350,520,1335,355,105,10,10,0,25,1935,385,30,2350,1825,525
7062,4235,58800,4235,920,1515,1040,275,185,250,45,10,160,4030,45,4235,1595,2640
3089,1625,59200,1625,35,70,70,305,125,325,255,435,1205,30,390,1625,1360,230
6478,1955,102000,1955,15,15,130,120,640,640,175,215,1650,280,25,1955,1660,290
5533,3155,50800,3155,1180,1360,325,165,40,25,20,35,340,2790,25,3155,570,2585
5697,1755,89000,1755,55,95,320,450,230,270,230,105,1455,290,10,1755,1320,440
5616,2200,59200,2200,735,1170,130,100,10,20,10,20,905,1295,0,2200,1070,1125
6339,2245,102000,2245,295,445,415,570,185,120,140,70,2085,100,60,2245,2070,175
943,690,50400,690,300,60,110,65,70,45,30,15,5,655,30,690,305,385
7028,2300,112000,2300,325,345,70,115,80,555,405,405,2255,25,20,2300,1965,340
5683,3390,61200,3390,270,1780,495,505,50,155,40,95,35,3335,20,3390,1235,2155
3756,1450,75000,1450,895,260,80,45,80,70,20,0,370,1100,0,1450,845,605
4987,2135,56800,2135,385,965,305,290,55,45,45,40,1310,810,15,2135,1155,980
4381,1760,76500,1760,20,620,940,80,10,0,60,25,1370,400,0,1760,1475,285
6013,2745,63600,2745,1515,510,255,240,105,75,35,20,880,1855,10,2745,910,1835
6902,2070,103000,2070,25,20,25,215,645,430,260,445,1830,225,15,2070,1620,445
5683,2700,43600,2700,1010,820,260,200,85,200,70,45,30,2665,5,2700,555,2145
4566,1825,93000,1825,610,265,215,310,55,85,100,190,470,1370,0,1825,1060,770
3369,1365,88000,1365,405,875,20,10,0,10,20,20,1370,10,0,1365,1275,85
7151,4205,52000,4205,785,2260,500,340,175,110,40,0,225,3980,0,4205,495,3710
4846,1915,70500,1915,1090,455,115,140,25,15,20,45,1050,865,0,1915,1050,865
5167,1625,86000,1625,45,695,55,270,75,110,180,190,1625,20,0,1625,1455,175
6323,2160,93000,2160,0,160,895,970,85,30,0,15,2035,125,0,2160,1855,310
4147,1895,54800,1895,1075,550,90,75,60,15,10,15,320,1580,0,1895,670,1225
2584,1045,80000,1045,145,845,35,10,0,0,0,10,915,135,0,1045,870,180
4653,2030,66500,2030,230,585,95,100,50,275,505,190,810,1215,5,2030,730,1300
5883,1860,117000,1860,110,385,1250,105,0,10,0,0,1820,60,0,1860,1780,85
5280,1995,87000,1995,145,855,625,240,50,45,15,10,1505,475,15,1995,1320,675
96,45,,45,0,0,10,0,0,0,10,20,0,0,45,45,25,0
6291,2095,86000,2095,80,700,555,540,110,65,30,20,1215,875,5,2095,1385,710
2684,650,106000,650,0,10,15,35,455,80,45,0,550,100,0,650,575,75
2554,670,138000,670,0,0,15,30,260,75,250,25,675,0,0,670,620,50
7356,2370,125000,2370,0,70,480,690,660,405,40,25,2115,245,10,2370,2145,220
7315,2285,102000,2285,160,700,415,490,80,30,85,315,1695,585,5,2285,1580,705
5323,1960,68500,1960,675,780,200,220,55,15,0,10,580,1380,0,1960,565,1390
10076,3935,80000,3935,930,1010,285,495,375,265,215,360,3685,200,50,3935,3380,560
2854,1030,119000,1030,0,1005,10,0,0,0,0,10,1025,0,5,1030,975,55
232,75,,75,0,25,10,20,0,0,10,0,75,0,0,75,35,0
5022,2360,63200,2360,625,1055,230,90,65,55,100,140,1515,860,0,2360,1235,1125
1643,885,35600,885,320,315,150,60,20,15,0,0,75,820,0,885,70,820
7280,2530,88000,2530,10,35,245,885,860,170,215,115,1950,580,0,2530,2165,365
4551,1695,44000,1695,945,345,120,75,25,40,45,100,985,725,0,1695,580,1115
4487,2230,75500,2230,875,775,245,190,95,25,0,20,1600,590,40,2230,1505,725
3604,1920,40000,1920,55,565,95,275,35,80,475,340,5,1865,50,1920,1005,915
3117,1020,72000,1020,140,610,140,60,20,15,25,10,210,790,20,1020,575,445
4061,1310,130000,1310,0,0,0,355,370,220,240,115,1270,0,40,1310,1175,135
2619,1305,50000,1305,650,440,65,95,20,10,20,10,170,1155,0,1305,450,855
3054,1370,74000,1370,240,540,85,125,45,110,105,115,715,635,20,1370,720,655
1761,605,87000,605,260,100,35,60,50,15,30,55,245,365,0,605,385,220
2897,1290,75000,1290,45,185,130,270,140,245,105,175,1235,30,25,1290,1150,135
2196,790,112000,790,10,500,270,0,0,0,0,0,775,0,15,790,765,20
4997,2070,70000,2070,1155,610,95,95,25,10,0,70,1695,400,0,2070,1615,450
5399,2360,66000,2360,285,415,240,460,200,110,380,270,85,2295,0,2360,915,1450
5183,1830,69000,1830,855,575,150,100,70,20,20,35,1005,835,0,1830,945,880
6984,2075,124000,2075,15,0,15,310,1145,475,95,15,2060,20,0,2075,1890,190
3831,1335,103000,1335,60,125,105,395,300,125,100,125,1195,125,15,1335,1220,115
4231,1715,89000,1715,515,355,190,190,50,170,130,105,760,895,60,1715,1000,710
3861,1280,123000,1280,10,105,1015,140,0,0,0,0,1205,80,0,1280,1235,45
4964,1735,115000,1735,375,605,260,135,60,130,105,65,1690,30,15,1735,1550,180
6646,2545,84000,2545,640,505,240,355,175,165,300,170,1265,1290,0,2545,1590,960
5987,1640,102000,1640,0,15,50,345,1005,155,50,25,1595,55,0,1640,1460,180
3602,1870,62800,1870,555,190,50,100,50,95,120,725,290,1540,40,1870,275,1595
2909,1285,77000,1285,990,200,35,30,10,0,0,20,980,305,0,1285,965,325
4784,1455,96000,1455,45,1045,260,70,15,0,0,0,1220,245,0,1455,1185,270
2754,1335,74500,1335,590,420,105,105,10,25,25,45,565,735,35,1335,720,615
4411,1595,90000,1595,515,695,140,210,35,0,0,0,1560,35,0,1595,1380,215
3003,1050,95000,1050,640,330,15,30,10,20,0,0,855,185,10,1050,845,200
1379,590,76500,590,260,150,30,50,35,40,0,15,510,65,15,590,510,80
3715,1570,70000,1570,80,965,375,105,20,20,0,15,640,940,0,1570,1130,440
7285,2800,92000,2800,15,650,1050,555,75,65,350,30,2255,535,10,2800,2575,225
1986,875,67000,875,410,285,70,50,15,15,25,0,600,280,0,875,520,360
5527,2995,79500,2995,0,45,70,695,525,680,225,755,90,2880,25,2995,1430,1555
11018,4300,87000,4300,95,40,40,390,665,495,1035,1540,2200,2130,0,4300,3195,1100
4427,1720,70000,1720,75,1465,85,40,20,15,0,25,1440,275,5,1720,1440,285
3909,1685,74500,1685,10,15,10,80,115,655,430,375,1315,340,30,1685,1120,570
1868,865,50400,865,165,260,90,105,40,10,90,115,285,650,0,865,265,600
221,80,,80,0,10,10,0,10,0,10,40,75,0,5,80,60,0
3110,985,97000,985,55,730,145,35,0,0,10,0,920,70,0,985,875,110
5963,2370,56000,2370,530,820,275,525,75,90,25,25,500,1850,20,2370,975,1390
6492,1855,101000,1855,0,10,30,125,1185,370,105,25,1505,355,0,1855,1400,455
4347,1365,119000,1365,20,95,245,630,165,70,100,45,1275,85,5,1365,1260,105
5410,1445,105000,1445,25,55,270,450,190,160,170,120,790,710,0,1445,1035,415
3887,1310,77500,1310,600,410,45,25,0,10,40,185,570,705,35,1310,755,555
4866,1870,54800,1870,645,885,120,85,20,30,65,20,55,1770,45,1870,630,1240
6947,2315,83000,2315,180,385,255,795,445,45,20,195,2245,60,10,2315,1940,375
5423,1560,91000,1560,15,225,850,100,50,260,35,25,1455,100,5,1560,1350,210
5865,1940,81000,1940,805,810,130,100,25,50,10,15,1295,635,10,1940,1295,645
5410,1675,114000,1675,0,55,605,510,390,95,15,0,1605,70,0,1675,1380,290
1905,885,67500,885,60,100,90,345,85,50,25,135,720,145,20,885,720,170
2011,1155,47600,1155,575,270,75,40,30,100,35,30,25,1155,0,1155,215,940
6230,2330,98000,2330,15,35,30,695,845,440,225,40,1955,365,10,2330,1985,350
3024,1325,70000,1325,270,650,140,245,10,0,0,10,760,550,15,1325,745,575
3104,1530,57600,1530,865,280,165,60,25,15,100,30,350,1175,5,1530,785,745
716,485,51600,485,240,60,130,55,0,0,0,0,0,490,0,485,205,280
6793,2435,102000,2435,10,10,80,210,170,660,580,715,1770,660,5,2435,2050,385
6662,2180,109000,2180,0,15,10,145,635,935,340,100,1920,250,10,2180,1865,320
6372,2325,103000,2325,225,980,265,390,105,205,65,90,2150,175,0,2325,2115,210
4039,2155,40000,2155,300,1055,295,245,90,50,45,75,550,1575,30,2155,680,1480
2553,790,87000,790,85,330,45,60,55,75,75,70,545,255,0,790,595,195
2937,1365,52400,1365,775,300,65,40,35,65,40,50,725,620,20,1365,700,670
6896,3205,59600,3205,155,1920,245,445,60,215,155,15,1945,1250,10,3205,2035,1175
1997,900,65000,900,25,225,330,235,40,30,0,15,420,450,30,900,530,375
5742,2745,55200,2745,1330,440,180,255,135,320,30,55,780,1945,20,2745,1135,1610
5,,,,,,,,,,,,0,0,0,,,
3882,1410,123000,1410,505,375,30,105,60,30,90,210,1070,380,0,1410,1095,310
10261,4320,75000,4320,275,635,455,840,215,390,690,815,2165,2155,0,4320,3235,1085
5088,2555,77500,2555,905,450,180,210,90,195,300,225,1135,1430,0,2555,1440,1115
4124,1615,91000,1615,430,390,140,75,230,50,85,220,1390,250,0,1615,1205,410
4808,1930,90000,1930,330,1230,110,100,60,45,45,15,1770,165,0,1930,1805,125
4212,1555,88000,1555,145,1075,190,100,25,0,10,10,1545,30,0,1555,1425,135
1332,785,64500,785,250,180,0,20,15,30,30,255,380,295,110,785,265,520
2888,1145,78000,1145,35,575,455,60,0,0,0,10,975,160,10,1145,975,175
5373,1805,106000,1805,30,70,790,465,205,205,30,0,1660,145,0,1805,1750,55
3010,1400,53200,1400,755,440,90,55,20,25,0,10,805,580,15,1400,740,650
3388,1020,86000,1020,40,285,530,105,20,15,0,20,725,290,5,1020,665,355
3609,1200,105000,1200,620,395,20,50,10,10,55,40,900,310,0,1200,940,260
2943,1665,36800,1665,485,110,100,160,125,155,225,305,20,1615,30,1665,260,1400
5422,2340,61200,2340,245,1105,200,290,175,180,100,45,1205,1145,0,2340,1175,1165
8731,2460,116000,2460,0,10,10,575,1420,175,85,185,2420,45,0,2460,2205,255
6369,2760,70500,2760,195,1065,560,475,215,135,90,30,2195,560,5,2760,2195,565
2848,1280,69500,1280,820,340,40,40,15,10,0,0,920,315,45,1280,905,375
3165,1175,89000,1175,270,320,180,135,80,45,50,95,1155,10,10,1175,1105,70
3964,2235,47200,2235,1090,720,165,95,55,25,30,55,810,1420,5,2235,640,1595
2936,1040,74500,1040,130,175,160,245,80,70,90,90,305,735,0,1040,630,410
3475,1490,52400,1490,105,420,25,110,105,300,225,205,495,1000,0,1490,655,840
5302,2320,72000,2320,65,945,1035,240,30,0,0,0,1235,1090,0,2320,1580,740
2874,955,110000,955,20,260,370,230,30,25,0,15,750,205,0,955,795,160
5619,2575,57600,2575,700,1010,330,205,75,95,80,70,1510,1060,5,2575,1535,1035
2089,760,72000,760,170,165,115,145,45,45,35,45,995,0,0,760,685,70
4168,1880,57200,1880,1330,270,45,40,20,40,60,70,1590,275,15,1880,1335,540
8186,3470,77000,3470,255,450,210,495,370,675,575,445,3125,315,30,3470,2935,540
7416,2515,101000,2515,480,570,420,750,160,30,65,45,2495,20,0,2515,2335,175
4373,1335,84000,1335,295,270,120,175,120,110,110,135,505,790,40,1335,730,605
4975,2125,69500,2125,145,1255,310,185,95,45,15,85,1525,545,55,2125,1575,550
8068,3005,72500,3005,250,715,165,400,105,510,265,605,585,2405,15,3005,1665,1340
3145,1290,69000,1290,90,730,220,20,0,0,30,190,965,335,0,1290,830,465
2169,1070,55600,1070,10,10,70,455,410,80,35,0,310,760,0,1070,610,455
7185,2800,71000,2800,1090,690,185,110,160,105,345,120,2000,800,0,2800,1685,1110
2686,1405,40800,1405,440,620,150,110,20,10,45,10,455,1045,0,1405,545,860
1978,1140,47600,1140,715,200,80,40,20,30,45,15,250,860,30,1140,300,840
4761,2130,48000,2130,160,1010,320,280,135,65,30,135,255,1855,20,2130,215,1920
2746,1080,103000,1080,130,915,10,10,0,0,0,10,1015,35,30,1080,910,170
4717,2285,61200,2285,865,820,200,100,30,75,115,85,620,1685,0,2285,860,1425
3945,1080,128000,1080,0,0,30,660,260,95,20,0,1065,40,0,1080,1030,55
3223,1705,74000,1705,790,650,140,45,35,15,25,15,730,980,0,1705,1265,445
8120,2740,110000,2740,290,410,240,505,215,255,335,490,2550,55,135,2740,2565,175
4595,1865,73500,1865,145,575,425,245,130,155,75,115,1695,185,0,1865,1550,320
4187,1640,93000,1640,0,25,35,290,445,465,340,40,1315,325,0,1640,1355,290
6158,2610,72500,2610,135,1315,145,275,460,80,150,50,1365,1260,0,2610,1175,1430
6354,1805,92000,1805,15,150,880,505,195,35,15,10,1315,475,15,1805,1530,275
5703,1925,69000,1925,275,950,490,170,20,0,0,0,605,1325,0,1925,900,1025
4745,1715,112000,1715,335,480,200,365,95,125,60,65,1595,80,40,1715,1585,130
49,20,,20,0,0,0,0,0,0,0,10,20,0,0,20,10,0
10104,3285,102000,3285,120,615,645,210,90,275,375,950,3015,265,5,3285,2770,515
3172,1650,47200,1650,1045,290,105,60,35,85,25,0,625,985,40,1650,585,1065
3838,1925,56800,1925,1110,485,115,100,15,10,20,65,600,1360,0,1925,870,1050
4047,1935,55600,1935,925,570,255,115,20,0,20,10,1180,765,0,1935,985,950
5177,2450,55600,2450,1055,660,180,175,65,110,90,100,1175,1275,0,2450,1245,1200
6536,2710,70500,2710,125,745,320,460,245,305,45,460,1730,770,210,2710,1965,745
2994,915,117000,915,0,0,0,0,0,15,635,260,910,0,5,915,815,100
2007,815,88000,815,655,80,30,10,10,0,0,10,740,85,0,815,665,145
5296,1945,73000,1945,40,780,585,195,20,20,125,180,910,1020,15,1945,1315,625
6793,3055,71000,3055,85,340,225,1075,165,525,390,255,365,2710,0,3055,2370,685
2861,1490,50400,1490,860,240,125,120,25,30,80,15,65,1455,0,1490,445,1050
1735,800,60800,800,15,135,30,115,155,220,130,10,400,395,5,800,240,555
9155,4290,58800,4290,465,1400,650,310,280,250,310,630,1890,2400,0,4290,1765,2525
6753,2785,59600,2785,350,1465,320,185,50,70,195,145,1135,1660,0,2785,965,1820
1126,480,60400,480,95,130,60,90,30,45,20,15,480,0,0,480,430,55
5087,2085,71000,2085,90,1425,405,90,10,45,15,0,1715,365,5,2085,1230,850
6876,2515,75000,2515,265,475,930,395,110,120,175,45,1500,1015,0,2515,1740,770
5326,2025,66500,2025,130,870,825,140,10,10,20,15,1160,860,5,2025,1245,780
7062,2660,66000,2660,420,1020,240,525,240,125,65,30,535,2085,40,2660,1295,1375
2015,1125,49200,1125,800,195,50,55,10,0,10,0,0,1130,0,1125,190,930
5891,2590,79500,2590,65,440,440,235,315,365,310,415,1595,1015,0,2590,1920,670
4535,1535,130000,1535,90,580,190,180,240,140,85,30,1510,5,20,1535,1440,95
1073,505,37200,505,340,60,25,40,10,0,25,0,30,510,0,505,75,435
6094,2300,83000,2300,35,145,135,890,665,325,75,30,1270,1020,10,2300,1535,760
3296,1335,62000,1335,345,805,75,80,15,15,0,0,905,460,0,1335,725,615
6284,3525,72500,3525,1140,1085,310,320,130,185,125,230,260,3260,5,3525,1165,2360
5395,2235,93000,2235,85,405,405,505,120,220,40,455,1605,555,75,2235,2060,170
3062,1015,100000,1015,335,260,115,75,45,65,70,50,1000,10,5,1015,960,60
6880,2135,96000,2135,20,55,95,360,360,380,595,280,2060,50,25,2135,1810,330
4096,1615,91000,1615,25,90,380,535,385,130,35,40,1135,495,0,1615,1125,485
932,385,84000,385,110,105,55,10,15,0,25,50,340,50,0,385,315,65
2713,1055,74000,1055,40,280,320,100,25,145,100,35,605,445,5,1055,735,320
6742,2605,76500,2605,30,1150,710,255,145,80,115,120,2095,515,0,2605,1955,650
7655,2830,152000,2830,15,35,40,125,335,1295,920,70,1520,1340,0,2830,1785,1040
4744,1710,71500,1710,60,940,510,105,35,15,25,15,1405,325,0,1710,1050,660
5640,1990,114000,1990,570,495,445,210,100,80,40,50,1925,65,0,1990,1730,255
1756,590,76000,590,405,95,50,25,10,0,0,0,330,245,15,590,365,220
5051,1995,54000,1995,410,515,245,195,105,320,85,105,395,1620,0,1995,790,1200
1083,475,61200,475,85,125,65,80,35,25,30,30,445,0,30,475,435,40
4104,1155,105000,1155,10,45,250,500,280,45,25,0,905,270,0,1155,900,260
5025,1600,180000,1600,0,60,395,565,355,170,40,10,1405,190,5,1600,1325,275
13787,5510,78000,5510,710,1135,900,975,450,440,430,460,4750,655,105,5510,4175,1335
4019,1800,66500,1800,275,1030,205,145,30,50,35,35,990,760,50,1800,905,895
4760,1395,112000,1395,25,50,270,740,205,50,35,25,1335,65,0,1395,1250,145
8624,3275,91000,3275,840,700,360,300,185,160,145,580,3030,45,200,3275,2925,345
5688,3460,79000,3460,35,210,710,335,1170,325,100,575,0,3480,0,3460,1365,2095
4410,2305,44400,2305,710,995,325,105,35,50,30,50,230,2065,10,2305,420,1880
639,365,26800,365,115,205,25,25,0,0,0,0,45,330,0,365,0,365
118,50,,50,10,10,20,0,0,0,0,0,40,5,5,50,35,15
3760,1395,94000,1395,425,160,380,245,175,15,0,0,885,480,30,1395,1290,105
3270,805,112000,805,0,0,0,10,55,620,85,30,805,10,0,805,690,115
7969,3015,91000,3015,60,615,340,375,435,540,465,185,2580,435,0,3015,2405,610
5542,2210,79000,2210,715,1165,95,115,60,25,0,25,1560,650,0,2210,1205,1005
7441,2525,86000,2525,55,135,370,450,260,495,350,415,1915,645,0,2525,1780,750
5099,2120,68500,2120,870,1035,95,60,20,10,15,20,1865,255,0,2120,1705,420
3111,1620,48000,1620,380,685,115,180,45,95,90,20,800,825,0,1620,825,795
15154,4110,121000,4110,0,15,25,65,175,1680,1460,680,4075,35,0,4110,3760,345
5255,1755,88000,1755,80,845,260,160,60,120,155,90,1285,465,5,1755,1350,400
4131,2800,57200,2800,905,1105,205,200,100,185,100,10,45,2770,0,2800,490,2310
4137,1805,65500,1805,120,345,105,125,165,600,230,115,265,1530,10,1805,755,1050
6582,4310,41600,4310,1105,1470,1045,220,60,65,65,275,5,4205,100,4310,285,4025
20,,,,,,,,,,,,0,0,0,,,
3182,1400,88000,1400,245,1140,0,0,0,0,0,0,1250,100,50,1400,1105,305
8355,2520,85000,2520,10,60,190,515,920,390,360,75,2235,290,0,2520,2120,400
5064,2330,69500,2330,910,970,185,115,15,35,50,55,1425,885,20,2330,1425,910
3553,2185,56400,2185,995,260,90,90,75,335,275,60,5,2170,10,2185,735,1450
3601,2180,62800,2180,955,515,240,90,70,270,30,15,250,1910,20,2180,520,1655
8999,2785,114000,2785,170,220,135,190,675,505,305,580,2400,360,25,2785,2385,400
6622,2460,58800,2460,170,1410,445,345,60,15,10,0,10,2455,0,2460,1010,1450
9200,3200,116000,3200,15,0,0,10,20,310,1780,1050,2890,320,0,3200,2925,275
6369,2130,103000,2130,15,30,25,175,1200,475,175,35,1815,320,0,2130,1555,580
3954,1115,103000,1115,20,165,695,180,50,0,0,0,960,200,0,1115,800,315
11747,4200,95000,4200,45,840,65,105,280,965,1165,740,3780,215,205,4200,3415,780
3738,1250,112000,1250,0,380,745,80,0,0,0,45,1060,150,40,1250,1045,210
2238,850,121000,850,160,300,110,85,40,65,45,35,835,25,0,850,790,60
8345,2910,91000,2910,235,1300,380,430,120,190,130,130,1630,1285,0,2910,2165,745
4984,1520,121000,1520,30,50,95,240,280,405,95,325,1285,220,15,1520,1360,160
4225,1855,81000,1855,25,80,155,625,230,290,135,310,1420,390,45,1855,1530,320
2049,815,67500,815,255,200,125,115,55,35,10,15,680,130,5,815,555,260
8546,3280,79500,3280,265,1205,380,330,250,340,240,270,2510,755,15,3280,2520,760
3325,1920,50000,1920,625,735,365,100,35,25,15,25,350,1535,35,1920,465,1455
4197,1625,82000,1625,255,360,235,105,120,155,265,125,1555,70,0,1625,1465,160
6461,2465,63200,2465,520,595,295,305,205,175,100,270,670,1790,5,2465,1160,1305
6834,1925,98000,1925,25,455,1095,230,65,30,15,15,1425,500,0,1925,1635,290
3364,1365,56000,1365,530,645,85,50,20,0,10,15,710,695,0,1365,545,820
5036,1430,126000,1430,0,0,10,15,350,820,225,10,1430,5,0,1430,1310,125
9454,3560,91000,3560,210,655,540,660,395,455,420,220,2940,615,5,3560,2985,570
3036,1350,53200,1350,400,355,135,205,105,65,20,70,390,930,30,1350,555,800
4274,900,142000,900,0,10,10,20,375,250,185,50,885,40,0,900,840,60
7011,2535,129000,2535,70,480,300,485,210,255,225,510,2160,325,50,2535,2180,355
3810,1440,90000,1440,375,835,65,55,30,45,25,15,1365,60,15,1440,1100,340
3271,840,130000,840,20,85,40,80,10,30,295,285,845,0,0,840,800,40
5409,2135,97000,2135,10,0,0,0,0,15,560,1540,1600,485,50,2135,1565,570
7002,2765,78000,2765,690,1570,205,220,35,25,15,10,2350,415,0,2765,2315,455
3305,1780,56800,1780,460,250,190,145,105,105,265,255,160,1610,10,1780,605,1175
4946,1890,94000,1890,215,660,265,220,135,135,185,75,1850,30,10,1890,1800,95
6102,2525,82000,2525,15,0,10,145,1165,780,195,210,1340,1135,50,2525,1455,1065
5810,1850,103000,1850,10,55,195,1440,85,40,0,0,1470,385,0,1850,1670,180
7127,3645,84000,3645,565,610,210,405,465,405,410,580,1725,1925,0,3645,1880,1765
10,,,,,,,,,,,,0,0,0,,,
1979,665,240000,665,550,60,25,15,0,0,10,0,645,15,5,665,645,20
2451,1195,87000,1195,965,115,70,25,15,0,0,0,590,640,0,1195,600,595
4148,1880,62800,1880,295,830,225,255,160,55,15,50,1320,300,260,1880,1320,560
3023,1395,63200,1395,35,145,220,575,160,85,0,170,290,1085,20,1395,965,435
3312,1175,91000,1175,100,115,85,85,150,200,310,140,1140,40,0,1175,1095,80
4179,1950,66500,1950,410,310,85,20,85,305,325,415,705,1300,0,1950,1265,690
3320,1465,76500,1465,15,490,275,285,40,145,185,25,1060,385,20,1465,1090,380
4948,2065,73500,2065,305,670,300,300,125,170,110,90,1810,25,230,2065,1895,170
2386,855,94000,855,335,155,45,55,50,60,80,90,750,100,5,855,690,165
3343,1405,67500,1405,50,1135,105,35,15,15,15,40,1005,375,25,1405,980,420
0,,,,,,,,,,,,0,0,0,,,
6871,3495,48800,3495,1800,940,315,160,65,75,95,45,1560,1900,35,3495,1585,1910
6042,2040,129000,2040,310,1155,155,135,70,65,85,60,1760,270,10,2040,1695,345
4225,1915,46800,1915,1205,450,85,120,25,15,0,10,565,1325,25,1915,565,1350
3996,1935,54000,1935,1200,445,110,85,30,15,35,10,870,1190,0,1935,830,1105
4612,1985,59200,1985,980,600,90,205,20,40,15,30,615,1350,20,1985,585,1400
4052,1740,56000,1740,1245,320,95,45,0,10,0,10,1140,630,0,1740,1020,720
